Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Price_Movement,Price_Movement_Pct,Year,Month,Day,Day_of_Year,Day_of_Week,quarter,Close_lag1,Close_lag3,Close_lag5,Close_lag7,Close_lag14,Close_lag21,Close_lag28,Close_lag365,Month_Sin,Month_Cos,Dayofweek_Sin,Dayofweek_Cos,Price_Movement_Category,Price_Movement_Code
2020-01-02,XLE,23.4543602036834,23.54361388060041,23.372867909150337,23.508689880371094,23889400,0.0,0.0,0.0,0.05432967668769351,0.23163998598077842,2020,1,2,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-03,XLE,23.722122754736503,23.79197371597748,23.32241970311705,23.438838958740234,59005800,0.0,0.0,0.0,-0.28328379599626885,-1.1941755757911956,2020,1,3,3,4,1,23.508689880371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,low,2
2020-01-06,XLE,23.520332249634016,23.741526476155208,23.438839951511977,23.621227264404297,44916200,0.0,0.0,0.0,0.10089501477028051,0.4289693432024136,2020,1,6,6,0,1,23.438838958740234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-07,XLE,23.555255486184908,23.582419582969337,23.28361303800836,23.55913543701172,22925000,0.0,0.0,0.0,0.0038799508268105853,0.016471699188684942,2020,1,7,7,1,1,23.621227264404297,23.508689880371094,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,high,0
2020-01-08,XLE,23.53585144468673,23.56301553993994,23.140029867712908,23.17107391357422,38042800,0.0,0.0,0.0,-0.3647775311125123,-1.549880326062568,2020,1,8,8,2,1,23.55913543701172,23.438838958740234,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,low,2
2020-01-09,XLE,23.159432902447744,23.365104335167903,22.887790465818057,23.341821670532227,30733600,0.0,0.0,0.0,0.18238876808448268,0.7875355534513361,2020,1,9,9,3,1,23.17107391357422,23.621227264404297,23.508689880371094,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-10,XLE,23.33018045930031,23.34958317460593,23.18271863871172,23.20988273620605,18302400,0.0,0.0,0.0,-0.12029772309425724,-0.5156313441471986,2020,1,10,10,4,1,23.341821670532227,23.55913543701172,23.438838958740234,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,low,2
2020-01-13,XLE,23.1749549727791,23.29137273347292,23.05465578120728,23.217641830444336,17557000,0.0,0.0,0.0,0.04268685766523461,0.18419391845798128,2020,1,13,13,0,1,23.20988273620605,23.17107391357422,23.621227264404297,23.508689880371094,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-14,XLE,23.167193188872343,23.24868547190904,23.01584995456645,23.22152137756348,34678000,0.0,0.0,0.0,0.054328188691137314,0.23450483728530486,2020,1,14,14,1,1,23.217641830444336,23.341821670532227,23.55913543701172,23.438838958740234,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,high,0
2020-01-15,XLE,23.12062839264801,23.19047786966104,22.984806428773418,23.05077743530273,21661600,0.0,0.0,0.0,-0.06985095734527746,-0.3021153065523468,2020,1,15,15,2,1,23.22152137756348,23.20988273620605,23.17107391357422,23.621227264404297,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,low,2
2020-01-16,XLE,23.186599410882515,23.26421175518625,23.077943017056697,23.089584350585938,16449000,0.0,0.0,0.0,-0.09701506029657736,-0.4184100418409947,2020,1,16,16,3,1,23.05077743530273,23.217641830444336,23.341821670532227,23.55913543701172,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,low,2
