Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-01-02,170.3897023605439,171.52455139160156,169.9857775214731,171.52455139160156,1676600,0.0,0.0,0.0
2020-01-03,169.3606524820276,171.48606748395397,169.2644736157212,170.28390502929688,2040100,0.0,0.0,0.0
2020-01-06,169.12983390234396,171.4283679544026,168.9374908424112,171.37066650390625,2459700,0.0,0.0,0.0
2020-01-07,171.22636808171472,171.60144211879506,170.75512986900202,171.01480102539062,1336200,0.0,0.0,0.0
2020-01-08,171.18793315613541,173.101781062563,170.93788864907253,172.42855834960938,1624900,0.0,0.0,0.0
2020-01-09,173.55380840347857,174.08274818234324,173.16910758495294,173.84231567382812,1267300,0.0,0.0,0.0
2020-01-10,174.35200751039548,174.49627580062364,173.25563600889666,173.5345458984375,2058000,0.0,0.0,0.0
2020-01-13,174.19817575645783,175.11181640625,173.9192658126754,175.11181640625,1804700,0.0,0.0,0.0
2020-01-14,175.0444552721151,175.33297717948182,174.26545639460863,174.49627685546875,1338100,0.0,0.0,0.0
2020-01-15,174.63091560461163,175.7176750788561,174.55397545224767,175.188720703125,3133200,0.0,0.0,0.0
2020-01-16,175.93884927450063,176.82363891601562,175.72726754774357,176.82363891601562,1345400,0.0,0.0,0.0
2020-01-17,177.41991814620926,177.593037149661,176.78518759977388,177.50648498535156,2106200,0.0,0.0,0.0
2020-01-21,176.92948955912615,177.9200703987104,176.92948955912615,177.4103546142578,2286800,0.0,0.0,0.0
2020-01-22,178.23745932609123,178.68947369306161,177.4488335199426,177.535400390625,893700,0.0,0.0,0.0
2020-01-23,177.30451225581652,177.95848149707152,176.67939373550908,177.84307861328125,2142700,0.0,0.0,0.0
2020-01-24,178.44901205876545,178.60289238730005,175.47726975376546,176.23703002929688,2010800,0.0,0.0,0.0
2020-01-27,172.83249122397925,174.09235507735707,172.2939101392891,173.2075653076172,1842200,0.0,0.0,0.0
2020-01-28,174.1500901483274,175.82350582332737,173.74616526294884,175.381103515625,1085900,0.0,0.0,0.0
