Date,BND,EFA,HYG,ITOT,IVV,IWD,IWF,IWM,MDY,QQQ,QQQE,SPY,TLT,VEU,VOO,VTI,XLE,XLF,XLK,XLV
03/01/2020,70.65048218,57.90976715,64.10409546,66.71591949,295.7481079,120.4724731,170.2838898,153.1033783,347.7232666,206.6696472,51.10640335,295.4447937,117.2216263,44.7604866,270.7678223,150.0986633,23.43883705,27.49005318,43.85063171,91.87788391
06/01/2020,70.56661224,58.1354866,64.03873444,66.97255707,296.9172058,120.5786896,171.370636,153.3073425,347.7140198,208.001236,51.14342499,296.5719299,116.555954,44.84376526,271.7824097,150.6113892,23.62122536,27.47216797,43.95510101,92.44960785
07/01/2020,70.50792694,57.97664261,63.98060608,66.7617569,296.1044006,120.2158051,171.0148468,152.7973785,346.7561951,207.9723206,51.36558533,295.7379761,115.9830017,44.77713776,271.0328674,150.2542877,23.55913544,27.29337883,43.93610382,92.26810455
08/01/2020,70.39893341,58.14384842,64.03873444,67.06420898,297.6113586,120.4724731,172.4285583,153.2702789,347.3792725,209.5355225,51.67106247,297.3141479,115.2162704,44.88539886,272.4313354,150.9959564,23.17107391,27.47216797,44.40624237,92.8670578
09/01/2020,70.48280334,58.27759552,64.20584106,67.53164673,299.620636,121.0035553,173.8422699,153.4556427,348.3833618,211.3110046,52.0505867,299.3301697,115.6206436,45.08525848,274.3141479,151.9390411,23.34182167,27.6420269,44.90961456,93.26638794
10/01/2020,70.60015106,58.06023407,64.22766113,67.33918762,298.7896423,120.5433044,173.5345612,152.8808289,347.3140869,210.7706146,51.93024826,298.46875,116.6486511,44.98532867,273.5281067,151.4995728,23.20988083,27.4364109,44.80514908,93.29359436
13/01/2020,70.55821991,58.36120224,64.22766113,67.82495117,300.881073,121.2248459,175.1117554,153.8728943,350.0105896,213.2022552,52.37457275,300.5213928,116.2947922,45.33508301,275.3378296,152.5342255,23.21764946,27.6241436,45.3655014,92.96689606
14/01/2020,70.65881348,58.41972351,64.22039032,67.73329926,300.4153137,121.4195709,174.4962769,154.4384918,351.0240479,212.3627625,52.40233994,300.0632019,116.8929062,45.32675934,274.9722595,152.451767,23.22151947,27.57051086,45.15181732,93.5295639
15/01/2020,70.76781464,58.41972351,64.23490906,67.92577362,301.091156,121.4460754,175.1887512,155.1802216,351.498291,212.4495697,52.30051804,300.7413635,117.6681366,45.21850204,275.5846558,152.8272247,23.05077744,27.41853142,45.20404434,94.33724976
16/01/2020,70.72593689,58.66215897,64.25675201,68.53987122,303.593689,122.3312302,176.8236694,157.1829071,355.4128418,214.485611,52.83740997,303.2430115,117.2974472,45.48498535,277.8880005,154.1365662,23.08958054,27.65991211,45.81190491,94.82733154
17/01/2020,70.71750641,58.83772278,64.20584106,68.67732239,304.5983582,122.561348,177.5065155,156.756424,354.6782837,215.5470581,52.89294434,304.1868896,116.2947922,45.61821747,278.8293457,154.5211182,22.94211578,27.74036217,46.12056351,94.82733154
21/01/2020,70.89361572,58.36957169,64.06781006,68.50320435,303.9408264,122.0479584,177.4103088,155.4583588,352.7164001,215.4505463,52.69854736,303.5911865,117.5165558,45.10191345,278.2535706,154.1914825,22.53077698,27.50793457,46.10158539,94.9271698
22/01/2020,70.95225525,58.48660278,64.18405914,68.56736755,304.0046997,122.0922318,177.5353851,155.356369,352.4653625,216.0198517,52.83740997,303.6278992,117.9294205,45.2434845,278.3266907,154.2830505,22.31346512,27.58839226,46.26778412,95.04514313
23/01/2020,71.07804108,58.34449005,63.98786545,68.61316681,304.3792114,122.1364899,177.8430786,155.254364,353.2556763,216.7146149,53.00402451,303.9760742,118.7551346,45.07693481,278.6009216,154.4570313,22.22808838,27.51687241,46.48623657,94.56412506
24/01/2020,71.18699646,58.09368896,63.71901703,67.95326996,301.6117859,121.047821,176.2369537,153.3444366,349.5177917,214.8909149,52.40233994,301.2727356,119.7156677,44.83543396,276.059967,152.9920349,21.9719677,27.16821289,46.26778412,92.98504639
27/01/2020,71.42177582,56.88984299,63.29026794,66.96339417,296.7162781,119.3483887,173.2075806,151.6013336,344.7292175,210.4521637,51.39336395,296.443634,121.577713,43.81946945,271.6726379,150.6938171,21.36271477,26.74804497,45.16605759,92.2771759
28/01/2020,71.29600525,57.4248848,63.83526993,67.61413574,299.8764648,120.3043213,175.3810883,152.8623199,348.1138,213.6847076,52.05984497,299.5500488,120.6256638,44.19421387,274.6158752,152.1496429,21.45972633,27.0609436,46.03033066,92.73094177
29/01/2020,71.49719238,57.4332428,63.79896927,67.5591507,299.6663818,119.790947,175.7657623,151.9907227,346.4680481,214.0320892,51.72660446,299.3026733,121.8052979,44.21087265,274.3416443,152.0489655,21.23465347,27.01623726,46.1490593,92.47682953
30/01/2020,71.51403046,57.38309097,63.86436081,67.72412872,300.5706482,120.3397064,176.1023865,151.9907227,346.8213806,214.7944031,51.90247345,300.2739258,121.8221436,44.00269318,275.2007446,152.4151764,21.40540123,27.35595322,46.54795837,91.80524445
31/01/2020,71.69844818,56.41333008,63.6027565,66.53263092,295.2275696,118.2154617,173.0151978,148.8384094,339.8104858,211.3881989,50.88424301,294.8215332,122.9343262,43.23654938,270.2651367,149.7232208,20.73793793,26.78380394,45.27053833,89.97206879
03/02/2020,71.63375092,56.54708099,63.59256363,67.11920166,297.3465271,118.7465286,175.082962,150.4980164,343.6785889,214.5821075,51.67106247,297.0116882,122.8347702,43.43640518,272.2302551,151.0417786,20.46629524,26.97154427,45.86887741,90.78884888
04/02/2020,71.41527557,57.49176788,63.97198105,68.16408539,301.9587708,120.0565033,178.5547791,152.7695465,348.2624512,219.4936371,53.02254486,301.5385742,121.1805725,44.20254517,276.4255371,153.4223785,20.54001999,27.23079681,47.07031631,92.38609314
05/02/2020,71.29764557,58.04353714,64.23464966,68.81481934,305.3199768,121.9240799,179.2857056,155.124588,352.2515259,220.2173615,53.22618484,305.0207214,119.8554611,44.61058807,279.5514832,154.9332123,21.3122654,27.77612686,47.34576035,94.16484833
06/02/2020,71.36489868,58.2023735,64.2857666,68.9981308,306.4889526,121.9417801,180.3531799,154.7722626,350.4848022,222.1182709,53.50389099,306.0470276,120.3956451,44.69386673,280.5020752,155.3635254,21.09495354,27.74036217,47.7779007,94.24649048
07/02/2020,71.5832901,57.65061569,64.19089508,68.61316681,304.8266602,121.1894073,179.583847,152.8715668,347.2583313,221.1629791,52.97625732,304.4159241,121.8979187,44.26916122,279.0762329,154.4753876,20.94748878,27.6420269,47.34101486,93.51141357
10/02/2020,71.69254303,57.76764297,64.27843475,69.1173172,307.0826416,121.6054459,181.516922,153.7338257,349.1459351,223.8358612,53.38354492,306.6885376,122.2355347,44.37741852,281.0778198,155.610733,20.8427124,27.72248459,47.98210526,94.01052856
11/02/2020,71.57493591,58.16057205,64.32221222,69.33727264,307.6489868,122.1364899,181.6227112,154.8000946,351.8795471,223.8744049,53.80936813,307.2200317,121.6194153,44.74382782,281.5898132,156.0410767,21.07555199,27.82082367,47.82064056,94.57319641
12/02/2020,71.49090576,58.36120224,64.49005127,69.76805878,309.6216736,122.5790176,183.1806946,155.8663483,354.2319641,226.0551758,54.4110527,309.1993713,121.0032959,45.02696991,283.3995056,157.020752,21.35883331,27.83870506,48.33827209,94.691185
13/02/2020,71.55812836,57.95157242,64.51198578,69.70388794,309.2381287,122.6056366,183.036438,156.2742615,355.431427,225.7657166,54.3555069,308.8695068,121.467514,44.65222549,283.1253357,156.9566956,21.29286194,27.82976341,48.21003342,94.24649048
14/02/2020,71.63375092,57.85124588,64.50463104,69.8505249,309.6856995,122.5701904,183.7000427,155.6716309,355.2640991,226.4121857,54.44808578,309.3643188,121.9992523,44.62724686,283.6005859,157.2130737,21.18032455,27.8655262,48.4189949,94.31909943
18/02/2020,71.74298096,57.48339844,64.37328339,69.63973999,308.9459534,121.9683151,183.6615601,155.3377991,354.204071,226.4990692,54.48511124,308.5671082,122.8347702,44.31912613,282.8236084,156.8468018,21.00569916,27.6241436,48.23854446,93.98330688
19/02/2020,71.73455811,57.67567825,64.40250397,70.04301453,310.4254761,122.3223648,184.9310608,156.1352234,355.626709,228.670166,55.06827927,310.04245,122.8262863,44.58560181,284.1855774,157.6434021,21.28510666,27.82976341,48.81315231,94.41893768
20/02/2020,71.91100311,57.33292007,64.51198578,69.76805878,309.1559448,122.3489075,183.7866364,156.5153656,357.0679016,226.5472565,54.62395859,308.7685852,123.788559,44.18588638,283.0704956,157.1672668,21.26181793,27.77612686,48.30503845,93.8108902
21/02/2020,72.08742523,57.0654068,64.45359802,69.0348053,305.9775391,121.7558823,180.901413,154.9299011,353.2742615,222.1954346,53.75382233,305.5888062,124.944664,43.9610405,280.1364746,155.5558319,21.00958252,27.50793457,47.22230148,93.86535645
24/02/2020,72.31425476,54.78312683,63.76036453,66.78009033,295.7664185,118.2243042,174.3519897,150.2662048,342.7301636,213.6268311,51.87470627,295.453949,126.8099976,42.33718491,270.7678223,150.437439,20.0394268,26.6139431,45.27053833,90.90681458
25/02/2020,72.37308502,53.88023376,63.31528473,64.80031586,286.8978577,114.5333786,169.1394348,144.9257507,330.7355652,207.8179321,50.3380928,286.5010071,127.4851837,41.67097092,262.6331177,145.8410034,19.15465546,25.71101761,43.82213593,88.14793396
26/02/2020,72.33110809,53.94711685,63.38093567,64.39703369,285.7928162,113.3030777,169.1586761,143.2475281,325.8912048,208.8889771,50.31956482,285.4472656,126.8099976,41.81253815,261.4722595,145.0352325,18.5764389,25.5232811,44.02157974,88.13886261
27/02/2020,72.41509247,52.35036087,62.52717209,61.59236908,272.8233337,108.5057678,161.4264069,138.2037964,313.9523621,198.4290924,48.34788513,272.6273193,128.1856689,40.60504913,249.8825226,138.6808014,17.58300972,24.432621,41.64716721,85.14402008
28/02/2020,72.89399719,52.03268814,62.78255844,61.17993164,270.2660522,107.2312241,161.5418091,135.6726074,307.8527222,198.5834808,48.24607086,271.4819336,131.0805511,40.38020325,248.3744202,137.7468719,17.56748581,23.77107048,41.96534729,84.04592896
02/03/2020,72.84602356,52.70148087,63.2589798,63.81045532,283.5002136,111.2407684,168.9375153,140.0302582,318.145813,208.8311157,50.00484085,283.238739,130.1161957,40.98810196,259.4614258,143.4512024,18.27763367,24.9868927,44.39198303,87.98458099
03/03/2020,73.28379059,52.27512741,62.9878006,62.07815552,275.3715515,108.3818665,163.830658,137.1746368,311.1629028,202.1344452,48.80146027,275.1289063,132.1363373,40.54675674,252.3046722,139.7521057,17.71883011,24.04820824,42.70616913,85.79743958
04/03/2020,73.26695251,53.83844376,63.8526535,64.49786377,287.4732666,112.7100601,170.9282227,141.0779877,321.9860229,210.5679932,50.65282059,286.6934814,130.7331696,41.64598846,262.7609863,145.3374329,18.13793564,24.84385872,44.53921509,90.74344635
05/03/2020,73.54476166,52.40887833,63.04642868,62.41729736,277.43573,108.8332825,165.2733154,136.5904846,310.3540344,204.1704712,49.33836746,277.1632385,133.9873352,40.59671021,253.9591522,140.4937286,17.47435379,23.64591026,43.13356018,88.63800049
06/03/2020,74.04990387,51.62303925,62.33551407,61.29907608,272.81427,106.7355347,162.734314,133.8831482,305.2213745,200.7256317,48.3941803,272.5814514,140.9606171,39.98047256,249.6997223,137.8841858,16.49255562,22.84132576,42.22177887,88.16609192
09/03/2020,73.88993835,47.61859894,59.65297699,56.4046936,250.9854431,97.24715424,151.1935883,120.865715,276.443573,186.7823944,44.9876976,251.2943878,144.7810669,36.79103851,230.432312,126.8142853,13.17076492,20.39180756,39.01633453,83.58307648
10/03/2020,72.89653015,49.37419891,60.56913376,58.99855423,264.4571228,101.6107483,159.4932709,124.6392975,287.6199646,196.952774,47.08898163,264.2975159,137.3599091,38.29831696,242.2582703,133.1046295,13.79554367,21.58974838,41.61868286,86.45087433
11/03/2020,71.51586151,46.85783386,59.2498703,56.09306335,251.5973206,96.15847015,152.0399017,116.7119827,268.6331482,188.3744965,45.19135666,251.4134064,132.3053741,36.40797043,230.2468109,126.3655777,13.06598759,20.41862679,39.65267181,83.14748383
12/03/2020,67.62652588,41.70807648,56.88251495,50.80454636,227.3847809,86.51961517,138.1621552,103.8150864,239.929718,171.1021576,41.08135605,227.3589325,133.1252441,32.51901245,207.97789,114.0778961,11.43613529,18.21048546,35.78237915,76.9400177
13/03/2020,70.48040009,44.2327919,58.67084503,55.35983276,248.0170746,94.06075287,150.5203705,110.7688446,262.2731934,185.5954895,44.04351425,246.7950134,130.1161957,34.70915222,227.4092712,124.4611053,12.49165726,20.6063652,39.98034668,82.27626801
16/03/2020,71.22125244,39.66822815,55.44598007,48.95311737,219.3108368,83.05884552,132.7764282,96.0732193,226.475296,163.3633728,38.87825775,219.7897797,138.5431824,30.77023888,200.7141113,110.2963562,10.7919569,17.78137207,34.45745087,74.16295624
17/03/2020,69.74797058,41.59939194,55.96636581,51.60195541,233.2574615,88.46687317,140.4991608,100.4772644,238.6930389,175.7531586,41.34054947,231.656662,129.3047485,32.38577271,213.8550568,115.8267593,10.86568546,18.74687004,36.80337906,78.81858063
18/03/2020,68.06423187,39.21678925,53.49638748,48.65065765,220.2698212,82.39499664,133.9497375,92.68904114,214.8153839,170.4074249,38.62831879,219.9272156,122.0103149,30.27891159,202.1650391,109.151825,9.305683136,17.15558052,35.41671753,76.20489502
19/03/2020,68.02217865,39.82706833,52.29437637,48.6323204,221.0827026,82.25338745,134.5652771,96.30500793,222.9047546,171.4302521,39.51697159,220.3945923,125.332077,30.62865829,202.3394928,109.9575729,9.938220024,17.53105354,35.54494476,74.64395905
20/03/2020,69.1754837,39.33383179,51.12171173,46.68922806,211.1273041,78.90766907,128.8525848,94.01491547,214.1519012,164.7142944,38.05441666,210.8968201,134.7565613,30.4787693,193.5237885,105.4710236,10.03523731,16.9052639,33.91609192,71.77617645
23/03/2020,70.70769501,38.87403107,50.30083847,45.52521133,205.1815033,75.38491821,126.5925293,92.62416077,206.3050995,164.833252,38.07291794,205.5045776,140.3097534,29.95911598,187.5823517,102.4677582,9.351249695,15.92165756,33.60627747,68.04821014
24/03/2020,70.78347015,42.16786957,52.37501526,49.71386337,224.5716858,83.13851166,138.1524811,101.0984421,229.1355133,177.5975494,41.44572067,224.1240082,137.6979675,32.40697861,205.470932,112.1917191,10.85094261,17.89608192,37.04805756,73.29180145
25/03/2020,71.7347641,43.53891754,53.84819031,50.59721375,227.4400482,85.08712769,139.2087402,102.3549881,236.169632,176.2824249,41.58486557,227.479126,137.3852692,33.50976563,208.1064301,113.7391281,11.36274147,18.38293266,37.00032806,74.26757813
26/03/2020,72.06309509,45.4867897,56.31082535,53.53559494,241.134079,90.26449585,147.5041351,108.7213516,249.808075,185.5654755,43.8296814,240.7616119,138.0614319,34.89661407,220.6138306,120.6441422,12.05704308,19.53693199,39.29166412,79.2011261
27/03/2020,72.45032501,44.19099426,56.45744324,51.89599228,233.6620941,87.68474579,142.4979706,104.7656403,241.8865509,179.1833649,42.12288666,233.590332,141.7467041,33.64343262,213.836731,116.7977829,11.23975182,18.94190216,37.51587296,77.50492859
30/03/2020,72.52613068,45.08551025,56.94116974,53.50796127,241.1248932,90.1752243,147.3980408,107.0739136,248.2574005,185.7008667,43.50502396,241.1763763,140.5802155,34.37028122,220.7514954,120.3404465,11.35480785,19.30253029,39.0959549,81.13439178
31/03/2020,71.85261536,44.69260025,56.48674011,52.69737625,237.4853821,88.53276062,145.3145142,106.5340729,245.5670471,184.1150055,43.1247139,237.581543,139.4391632,34.27003098,217.4732208,118.6197128,11.52937317,18.77060509,38.3655777,80.77873993
01/04/2020,72.22386932,42.71126938,54.93617249,50.1919136,226.824295,84.37300873,139.0544281,99.27417755,230.7328796,176.292038,41.1210556,226.8892059,141.3927917,32.81633759,207.6749115,113.1446991,10.95806313,17.62561226,36.53728104,77.70554352
02/04/2020,72.56137085,43.54727173,55.36342239,51.31568527,232.1456604,86.41718292,141.6588135,100.2142563,233.348465,179.8699493,41.81677246,232.1248016,142.2900696,33.55153275,212.5327148,115.5003281,11.96182346,18.06738281,37.39176941,79.85769653
03/04/2020,72.52761841,42.55243301,54.17746735,50.35771561,228.8645935,85.0246582,139.4691467,97.37545013,227.0803528,177.3171234,41.2138176,228.7696228,142.6286011,32.89154053,209.3921356,113.5311737,11.83486748,17.70675659,36.81415939,79.13726807
06/04/2020,72.75540924,44.80963516,55.49597931,53.96852875,244.2864532,90.44303131,149.6358948,104.83078,245.5203705,189.994339,44.40480042,244.1352081,142.2561951,34.60420227,223.6350098,121.4722595,12.46172142,18.9779644,39.95518494,83.28655243
07/04/2020,72.82288361,45.06044006,55.49597931,53.96852875,244.387558,91.03218842,149.3272095,105.100708,248.3787842,189.9169617,44.25639343,244.384079,140.7663879,34.74623108,223.7544098,121.6102905,12.72753811,19.16729355,39.5971756,82.60260773
08/04/2020,73.00855255,45.42827225,56.9397316,55.9120903,252.7418365,94.73665619,153.9571838,109.8940964,261.0644226,193.9493561,45.58287048,252.5876617,139.7421875,35.10547638,231.3488159,125.879921,13.57657242,20.00575066,40.66168594,86.00410461
09/04/2020,73.81009674,46.45655823,60.66695786,56.88847733,256.5283508,97.2003479,155.278717,115.1528473,269.9388123,194.2297668,45.75911713,256.431366,139.9961548,35.66522598,234.7832642,128.2355499,13.45358276,21.07861328,40.67123413,86.478302
13/04/2020,73.57382965,46.01348114,59.79776764,56.24368668,254.0651855,95.15621948,154.8543091,112.0348358,261.5315247,196.328125,45.71273804,254.0901489,138.7180023,35.45635605,232.5059052,126.7080917,13.40993977,20.31228638,40.76194763,85.72138977
14/04/2020,73.57382965,46.83275604,60.04820633,57.91091537,261.7762146,97.02184296,160.8540039,114.3058472,267.0429382,204.8666382,47.48448181,261.5839233,138.6841125,36.11636353,239.6044159,130.5543976,13.3464613,20.40243721,42.47090149,88.5666275
15/04/2020,73.93663025,45.36975861,59.48841858,56.65819168,256.0229187,93.90648651,158.7222443,109.6427841,256.5525208,202.5168457,46.77022171,256.0257263,142.3577576,35.10547638,234.388382,127.4902496,12.71960545,19.51890182,41.54480362,88.11067963
16/04/2020,73.97888184,45.39483643,59.42946243,56.84241486,257.3830261,93.54052734,160.6128235,108.8143997,256.3283997,206.2107391,47.58652115,257.2608643,143.9745178,35.08877182,235.572998,128.0883331,12.17606449,19.17630959,42.05082703,90.03485107
17/04/2020,73.87760925,46.59867477,59.73148346,58.53728485,264.3035278,97.22714233,163.4873047,113.6077957,265.380127,208.1834412,48.51413345,264.2108765,142.044632,35.99105072,242.074585,131.7138519,13.46945095,20.18606567,42.60932159,91.90431213
20/04/2020,73.75947571,45.90479279,58.83280945,57.53326035,259.5979919,95.20977783,161.3845367,112.2675171,260.3638306,205.7176361,47.88336182,259.5561523,143.1873169,35.5232048,237.7126465,129.57901,13.04890156,19.83445168,41.92670059,91.17474365
21/04/2020,73.85229492,45.01027298,57.75737762,55.718647,251.6940155,92.80854797,155.7127075,109.5869217,253.4605103,198.1267242,46.23220825,251.6751404,144.9902344,34.72951889,230.4488373,125.5578232,12.81879044,19.19434166,40.17001724,88.40248871
22/04/2020,73.79325867,45.77103424,58.26564407,57.00822449,257.3922424,94.29032135,159.9762115,110.917923,256.9355164,204.006012,47.46592712,257.2608643,143.5089874,35.42294312,235.5178833,128.391983,13.27504444,19.40170288,41.71666718,89.75213623
23/04/2020,73.91133881,45.62891006,58.23618317,56.96217728,257.3186951,94.29032135,159.8025513,112.006897,260.1116638,203.5708618,47.24329376,257.2424622,144.2707367,35.34775543,235.4720001,128.4104004,13.70352936,19.32055664,41.43024445,90.24459839
24/04/2020,73.88602448,46.15559769,57.69109344,57.84643936,260.9214783,95.40614319,162.3876495,113.9335709,263.5212097,206.7812805,48.04105377,260.8281555,144.6093903,35.62343979,238.8881531,130.3243713,13.73526955,19.60004425,42.30859375,91.4574585
27/04/2020,73.62446594,46.76587677,57.92679977,58.86888504,264.8642578,97.62883759,164.1818237,118.4477158,274.4973755,208.4445038,48.83878326,264.5888672,141.9176483,36.13306427,242.3409271,132.6339874,14.03282833,20.26720047,42.67138672,92.63383484
28/04/2020,73.84383392,47.11699677,58.10358047,58.70309067,263.4396667,98.42330933,162.127243,120.1696014,277.3932495,204.5185547,48.23584747,263.3721313,143.5513458,36.38370895,241.2205811,132.2199402,14.35418797,20.48357964,42.10331345,90.76436615
29/04/2020,73.89450073,48.29574966,59.12747192,60.41636658,270.3234253,100.6995239,166.9019165,126.0799179,289.0512695,211.7709351,49.57160568,270.2668457,142.806366,37.34446716,247.4375153,135.9650421,15.4174633,21.07861328,43.83137131,91.36624908
30/04/2020,73.83539581,47.29255295,59.24532318,59.65183258,267.5938416,98.43219757,166.6607666,121.2865219,280.0648804,211.6838989,48.74603271,267.7504578,141.1388397,36.60092163,245.27948,134.1982727,15.07626438,20.54669189,43.63566208,90.94676971
01/05/2020,73.80498505,46.26427841,58.22334671,58.00303268,260.5814209,95.52218628,162.291214,116.4745407,270.4525452,205.7176361,47.27113342,260.6622009,142.3474731,35.66522598,238.594223,130.4899902,14.22326469,19.88854599,42.43747711,89.21409607
04/05/2020,73.881073,46.24755478,58.14196396,58.15041351,261.5923462,95.40614319,163.6705475,116.9771423,270.7887878,208.1157227,47.73493195,261.3811951,141.6779327,35.74040604,239.347229,130.9868774,14.71522617,19.70823288,43.00075912,89.16851807
05/05/2020,73.81342316,46.33115768,58.64515686,58.675457,263.8992004,95.82570648,165.8794861,117.8799667,273.3857422,210.475174,48.37498474,263.7961731,140.7710419,35.89914322,241.551178,132.2015076,14.72712708,19.64512444,43.59270477,91.10179901
06/05/2020,73.48370361,46.03019714,58.31219101,58.38990402,262.1621094,94.31710815,166.0530701,117.0143661,271.2839355,211.7709351,48.63471985,262.0079346,138.4996185,35.69028091,239.925766,131.4746094,14.34228516,19.22138023,43.93162155,90.19898987
07/05/2020,73.72045898,46.72407913,58.46017838,59.09916306,265.2686462,95.54896545,168.2233887,118.6152649,275.7584839,214.4978943,49.27476501,265.1696167,140.8134308,36.13306427,242.7633057,133.195282,14.71522617,19.67217064,44.59038925,90.18986511
08/05/2020,73.50910187,47.51828003,59.01519012,60.25977707,269.7076111,97.82520294,170.4708862,123.1945724,285.6322937,217.437561,50.18383026,269.5570984,138.9826813,36.75965881,246.8222961,135.6981506,15.38572025,20.09590912,45.24437332,90.65493011
11/05/2020,73.28083801,47.47647858,58.74879837,60.20451736,269.6984253,96.89687347,171.7730713,122.5802612,283.6426697,219.3811798,50.36935425,269.6124878,137.8978271,36.69281769,246.859024,135.716568,15.11594009,19.70823288,45.54508972,92.21435547
12/05/2020,73.51753998,46.87455368,58.67477036,58.83204269,264.2024841,94.70986938,168.3488312,118.1778107,273.1896667,214.7879791,49.24695206,264.2386475,139.3132629,36.29180145,241.8908997,132.8272247,14.85011578,19.19434166,44.60470581,90.80998993
13/05/2020,73.6020813,46.51507568,58.36398315,57.78195953,259.6716003,92.43363953,165.8312378,114.2220917,263.9042969,212.0997467,48.34716797,259.5653687,140.2879028,36.04116821,237.6024628,130.1587524,14.17565632,18.62635231,43.83614731,89.82510376
14/05/2020,73.80498505,46.07199478,58.16418839,58.40833282,262.7780151,93.76367188,167.5867462,114.5943985,266.8748169,214.5075531,48.9315567,262.6716614,141.6608887,35.87408829,240.4675446,131.5574036,14.3343544,19.1041832,44.39466476,90.80998993
15/05/2020,73.84725952,46.11379623,58.24556351,58.71229172,263.9176025,93.71903992,168.9372406,116.4186783,269.0513306,215.9000244,49.15419388,263.8790283,141.2965546,35.7738266,241.551178,132.3487549,14.27880764,18.9779644,44.61902618,91.57601166
18/05/2020,73.71195221,47.97807693,59.27419281,60.7203331,272.0788574,97.97696686,172.7858887,123.4924088,285.3520813,219.9226685,50.71257019,271.9168396,138.1944275,37.16067123,248.9342957,136.7379303,15.44523144,19.95165634,45.71218872,92.33290863
19/05/2020,73.80498505,47.31764221,59.34820175,60.05713272,269.2756653,96.3791275,171.763443,121.0538177,281.4193726,219.3714752,50.55488586,269.1239014,138.7114868,36.73458862,246.5835114,135.2841187,15.012784,19.46480751,45.54508972,91.22034454
20/05/2020,73.9994278,48.30411911,59.97716904,61.19010544,273.8710022,98.12872314,174.7054291,124.720993,287.5286255,223.7519989,51.48248672,273.6958618,139.1266785,37.3945961,250.6056824,137.786972,15.61186981,19.89756393,46.54278946,91.32978821
21/05/2020,74.07550812,47.74399567,59.9623909,60.81243896,271.8675232,97.58418274,173.5865021,124.9443893,288.93927,221.3151703,50.96303177,271.8062134,139.4742584,36.96853256,248.8058167,136.9588013,15.3619194,19.83445168,45.89358521,90.65493011
22/05/2020,74.10086823,47.61023331,60.11038589,60.95062637,272.4188843,97.53956604,174.2906647,125.5493469,288.6777039,222.0790558,51.15782928,272.3223572,140.3133392,36.69281769,249.3659515,137.3452606,15.26669979,19.7623291,46.06066132,90.84646606
26/05/2020,74.05860901,48.97292328,60.5617981,61.77963257,275.8744812,100.2532272,174.6185913,129.1699829,298.7850342,221.4795837,51.57524872,275.6775208,138.4317932,37.71207047,252.5708466,139.2592621,15.69121742,20.79010773,46.01292038,90.68231201
27/05/2020,74.09240723,49.56648254,60.68759155,62.82972336,279.9000244,102.5562668,176.0654907,133.1815338,306.54776,222.6882782,52.18746948,279.7793579,138.1775208,38.04624939,256.2532349,141.4584808,15.89355755,21.69167709,46.27547455,91.62161255
28/05/2020,74.11781311,50.03463745,60.74680328,62.59943008,279.3486633,101.9938812,176.364502,130.0262909,302.0545654,222.3981934,52.11325836,279.2632446,137.6689911,38.25510406,255.7481689,140.9707642,15.44919968,21.34908485,46.18476868,92.81623077
29/05/2020,74.32910919,49.85907745,60.9909668,62.77446365,280.4791565,101.868927,177.7921143,129.2816925,300.3544006,225.6569519,53.05942917,280.5074768,138.6521606,38.31358337,256.8960571,141.440094,15.37778378,21.10565758,46.76716232,93.93789673
01/06/2020,74.26898956,50.97095871,61.45233154,63.17974472,281.857605,102.4134445,178.9206543,130.5195465,304.2311096,226.3338776,53.26351166,281.6412659,137.7185364,39.15739441,258.0164185,142.3970642,15.64757442,21.34908485,46.75283051,93.00772095
02/06/2020,74.32830048,51.44748688,62.06150436,63.70476913,284.2013245,103.4578247,180.0492249,131.5992432,306.9495239,227.8520355,53.69948196,283.9732971,137.2178802,39.72548676,260.1376953,143.4736481,16.08399391,21.52038193,47.19200516,93.54577637
03/06/2020,74.15886688,52.67640305,62.35123825,64.70880127,288.0245361,105.823349,181.6118622,134.7731171,315.4407654,228.8770142,54.37663269,287.7525635,135.3933105,40.59435272,263.572113,145.7096558,16.55611801,22.3227787,47.55956268,93.3633728
04/06/2020,73.98095703,52.45067978,62.15805054,64.4601059,287.0595398,106.4303436,179.682663,134.5776672,315.5342407,227.2717896,54.06126404,286.9966736,133.4329376,40.32700729,262.901825,145.2496185,16.5600853,22.809618,47.16812897,92.62471008
