Date,BND,EFA,HYG,ITOT,IVV,IWD,IWF,IWM,MDY,QQQ,QQQE,SKY,TLT,VEU,VOO,VTI,XLE,XLF,XLK,XLV
2020-12-31,75.73090362548828,62.46100616455078,66.75544738769531,80.42352294921875,349.5418395996094,124.10155487060548,233.9071807861328,184.3721160888672,396.16357421875,304.4620666503906,70.05571746826172,30.940000534057617,134.8761749267578,49.72806930541992,319.908447265625,181.38998413085932,15.687000274658203,27.03908348083496,62.52078628540039,104.73072052001952
2021-01-04,75.62785339355469,62.78632354736328,66.61780548095703,79.3974838256836,344.7278137207031,122.43147277832033,230.60922241210932,181.96473693847656,389.955810546875,300.1630859375,69.10498809814453,30.01000022888184,134.7136993408203,49.97517013549805,315.5709533691406,178.80853271484375,15.711833000183104,26.67220497131348,61.501373291015625,104.2783203125
2021-01-05,75.49903869628906,63.43695831298828,66.64075469970703,79.99444580078125,347.0091552734375,123.4843292236328,231.81198120117188,184.7765045166016,395.72015380859375,302.6376953125,69.7108383178711,30.89999961853028,133.7131805419922,50.7420539855957,317.64654541015625,180.2530212402344,16.415470123291016,26.791439056396484,61.900489807128906,105.03536224365234
2021-01-06,75.16417694091797,64.16463470458984,66.5184326171875,80.72199249267578,349.104248046875,126.5793914794922,229.23182678222656,192.3372039794922,411.390380859375,298.44549560546875,69.43119812011719,32.06999969482422,130.9683074951172,51.01472473144531,319.5733642578125,181.8745880126953,16.91629409790039,27.974628448486328,60.832984924316406,106.47560119628906
2021-01-07,75.00959777832031,64.23312377929688,66.70954895019531,81.95325469970703,354.2720642089844,127.68673706054688,234.4407501220703,195.7602081298828,415.843505859375,305.66552734375,70.93187713623047,32.81999969482422,129.81396484375,51.193660736083984,324.34844970703125,184.7914886474609,17.164640426635742,28.37820053100586,62.472694396972656,107.86044311523438
2021-01-08,74.94087982177734,64.8323974609375,66.8089828491211,82.34500885009766,356.2925720214844,127.76840209960938,236.86575317382807,195.3370513916016,415.1829528808594,309.5956726074219,71.67755126953125,31.43000030517578,129.39491271972656,51.917930603027344,326.1727600097656,185.6861724853516,17.143943786621094,28.35985374450684,62.87660598754883,108.37744903564452
2021-01-11,74.86360168457031,63.98485565185547,66.44959259033203,81.9066162109375,353.9647216796875,127.8682632446289,234.02362060546875,195.1677398681641,415.881103515625,305.1220703125,71.09033966064453,31.38999938964844,129.18113708496094,51.22775268554688,324.041259765625,184.5771484375,17.412981033325195,28.45157241821289,62.35728454589844,108.88522338867188
2021-01-12,74.846435546875,64.27593231201172,66.53369903564453,82.14913940429688,354.0206298828125,128.48541259765625,233.5289459228516,198.6660003662109,420.7398376464844,304.6368408203125,71.21150970458984,31.89999961853028,129.0785369873047,51.551544189453125,324.0691833496094,185.22950744628903,18.02142333984375,28.745073318481445,62.05916976928711,107.7034912109375
2021-01-13,75.04393005371094,64.1903305053711,66.7325210571289,82.22376251220703,354.91455078125,128.3673858642578,234.6541290283203,197.2460174560547,416.73968505859375,306.694091796875,71.20219421386719,31.39999961853028,130.53233337402344,51.54303359985352,324.87890625,185.43453979492188,17.880699157714844,28.726736068725582,62.45347595214844,107.99891662597656
2021-01-14,74.94947052001953,64.7040023803711,66.71723175048828,82.21441650390625,353.6854248046875,128.8485107421875,232.5395050048828,201.18624877929688,420.777587890625,305.0540771484375,71.28607177734375,32.36000061035156,129.30943298339844,51.97758483886719,323.78057861328125,185.2574920654297,18.41049575805664,28.85514259338379,61.90529251098633,107.65733337402344
